Num,paintKey,idPaint,batchNumber,carBrand,paintCodeAndName,paintCode,paintName,initYear,endYear,paintBrand,typePaint,purchaseDate,Unit,Layer,Volume
123,PBT-1401516-C,1401516,12795500,GM,WA213M / Graystone Metallic,WA213M , Graystone Metallic,-,-,PBT,-,10/14/2018,1 ,1 ,0.473 L
124,-,-,-,Ford,Z1 / Oxford  White,Z1 , Oxford  White,1997,2016,Crossfire B/C,Basecoat,06/25/2018,1 ,1 ,0.473 L
125,PBT-1355131-C,1355131,16573707,Ford,LQ / M7235A / Pale Adobe Metallic,LQ / M7235A , Pale Adobe Metallic,2011,2014,PBT,-,11/21/2019,1 ,1 ,0.473 L
126,56-47605-00-A,1769186,-,Toyota,8M6 / 196 / Pewter Pearl,8M6 / 196 , Pewter Pearl,1998,2010,Crossfire Platinum B/C 5.0,Basecoat,05/07/2014,1 ,1 ,0.473 L
127,PBT-1440035-B,1440035,15371673,Ford,DI / M7187A / Dark Ink Blue Metallic,DI / M7187A , Dark Ink Blue Metallic,2008,2010,PBT,-,08/05/2019,1 ,1 ,0.473 L
128,-,20318,-,Toyota,051 / Diamon White Pearl,051 , Diamon White Pearl,1989,2005,Limco Supreme,Basecoat,-,1 ,1/2,0.473 L
129,-,20318,-,Toyota,051 / Diamon White Pearl,051 , Diamon White Pearl,1989,2005,Limco Supreme,Basecoat,-,1 ,2/2,0.473 L
130,C6-4978385-B,4978385,-,Chevrolet,227M / Laser Blue Metallic,227M , Laser Blue Metallic,2005,2007,Crossfire B/C,Basecoat,03/15/2018,1 ,1 ,0.473 L
131,C6-4980863-A,4980863,35078664,Chevrolet,GAR / 58 / 58U / WA501Q / 501Q / 04Y / 693R / Carbon Flash Metallic,GAR / 58 / 58U / WA501Q / 501Q / 04Y / 693R , Carbon Flash Metallic,2007,2024,C6 - Crossfire B/C,-,-,1 ,1 ,0.473 L
132,C6-4974585-D,4974585,12061871,RAM,PDA / EDA / AY97EDA / Light Graystone Pearl,PDA / EDA / AY97EDA , Light Graystone Pearl,2011,-,C6,-,10/10/2018,1 ,1 ,0.473 L
133,PBT-101125897-D,101125897,34348930,GM,WA931L / Blue Ice Metallic,WA931L , Blue Ice Metallic,-,-,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
134,PBT-1577359-B,1577359,-,Dodge,KDB / PDB / Crystal Blue Pearl,KDB / PDB , Crystal Blue Pearl,2013,-,PBT,-,05/22/2019,1 ,1 ,0.473 L
135,C6-5262532-A,5262532,-,Chevrolet,403P / Imperial Blue Metallic,403P , Imperial Blue Metallic,2007,2012,Crossfire B/C,Basecoat,03/27/2018,1 ,1 ,0.473 L
136,PBT-1482977-D,1482977,-,Lexus,4T5 / Truffle Mica,4T5 , Truffle Mica,2007,2012,PBT,-,-,1 ,1 ,0.473 L
137,C6-4980117-B,4980117,-,Chrysler,PSE / Silver Metallic,PSE , Silver Metallic,-,-,C6,-,12/16/2020,1 ,1 ,0.473 L
138,PBT-1401873-D,1401873,-,Ford,CX / M7039A / Dark Shadow Gray Metallic,CX / M7039A , Dark Shadow Gray Metallic,2002,2011,PBT,-,05/30/2019,1 ,1 ,0.473 L
139,PBT-100280731-B,100280731,12459163,Acura,NH788P / Orchid White Pearl,NH788P , Orchid White Pearl,2011,2019,PBT,-,11/18/2018,1 ,1 ,0.473 L
140,C6-5794895-C,5794895,21604500,Ford,M7083A / DX / 7083 / Dark Blue Pearl,M7083A / DX / 7083 , Dark Blue Pearl,2003,2015,C6,-,-,1 ,1 ,0.473 L
141,PBT-1560615-C,1560615,20330180,Chevrolet,534F / Driftwood Pearl,534F , Driftwood Pearl,-,-,PBT,-,11/17/2020,1 ,1 ,0.473 L
142,PBT-1401910-C,1401910,21157981,Lexus,UCA76 / Medium Gray Pearl,UCA76 , Medium Gray Pearl,-,-,PBT,-,-,1 ,1 ,0.473 L
143,-,-,-,Mazda,22V / Sunlight Silver Metallic,22V , Sunlight Silver Metallic,-,-,-,Basecoat,10/29/2021,1 ,1 ,0.473 L
144,1PNISSL1-W,-,-,Nissan,QAB / White,QAB , White,2008,2017,Wandabase HS,Basecoat,-,1 ,1/2,0.473 L
145,-,5363424,-,Chevrolet,316N / Gold Mist Metallic,316N , Gold Mist Metallic,2007,2012,Pro//Base National Rule - Pbn,Basecoat,-,1 ,1 ,0.473 L
146,PBT-1390650-C,1390650,16290946,Jeep,PSB / WSB / AY96WSB / Bright Silver Metallic,PSB / WSB / AY96WSB , Bright Silver Metallic,2002,2007,PBT,-,10/25/2019,1 ,1 ,0.473 L
147,PBT-1662782-D,1662782,-,Honda,NH679M / Slate Green Metallic,NH679M , Slate Green Metallic,2005,2014,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
148,PBT-1403946-C,1403946,15241316,Toyota,6T7 / Cypress Mica,6T7 , Cypress Mica,2008,2019,PBT,-,07/24/2019,1 ,1 ,0.473 L
149,-,-,-,Toyota,TOY1F7 / 1F7 / Silver,TOY1F7 / 1F7 , Silver,2004,2017,Wandabase HS,-,-,1 ,1 ,0.473 L
150,PBT-100842908-B,100842908,-,Mercury,T3 / M7130A / 7130 / Satellite Silver Metallic,T3 / M7130A / 7130 , Satellite Silver Metallic,2005,2007,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
151,C6-4960093-C,4960093,25015452,Chrysler,PM4 / Claret Red Metallit,PM4 , Claret Red Metallit,1991,2005,C6 - Crossfire B/C,-,-,1 ,1 ,0.473 L
152,PBT-1389019-B,1389019,33073521,Subaru,CB4 / D4S / EH3 / Crystal Black Silica Pearl,CB4 / D4S / EH3 , Crystal Black Silica Pearl,2009,2023,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
153,PBT-1440044-D,1440044,11447735,Honda,B564M / Celestial Blue Metallic,B564M , Celestial Blue Metallic,2011,2014,PBT,-,08/21/2018,1 ,1 ,0.473 L
154,-,1580143,-,Lexus,B7 / Golden Beige Metallic,B7 , Golden Beige Metallic,2006,2018,PBT,-,03/29/2018,1 ,1 ,0.473 L
155,-,-,-,Acura,NH-737M / P01/2017 / Polished Gray Metal Metallic,NH-737M / P01/2017 , Polished Gray Metal Metallic,2008,2015,Wandabase HS,Two-coat,-,1 ,1 ,0.473 L
156,PBT-100121208-C,100121208,21337571,Ford,CX / Dark Shadow Gray Metallic,CX , Dark Shadow Gray Metallic,2010,2012,PBT,-,-,1 ,1 ,0.473 L
157,-,711023,-,Subaru,37J / Satin White Pearl Metallic,37J , Satin White Pearl Metallic,2005,2012,Diamont,Basecoat,01/30/2012,1 ,1 ,0.473 L
158,PBN-5368389-C,5368389,-,Ford,T3 / Satellite Silver Metallic,T3 , Satellite Silver Metallic,2006,2007,Pro//Base National Rule - Pbn,Basecoat,03/10/2018,1 ,1 ,0.473 L
159,-,-,-,Subaru,37J / Satin White Pearl Metallic,37J , Satin White Pearl Metallic,2005,2012,Diamont,Basecoat,01/30/2012,1 ,1 ,0.473 L
160,PBT-1405295-B,1405295,23089631,Chevrolet,GXG / WA121V / 121V / Iridium Metallic,GXG / WA121V / 121V , Iridium Metallic,2013,2018,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
161,PBN-5763939-C,5763939,-,Ford,ZY / Vapor Silver Metallic,ZY , Vapor Silver Metallic,2008,2009,Pro//Base National Rule - Pbn,Basecoat,09/19/2017,1 ,1 ,0.473 L
162,-,-,-,Ford,J1 / Kodiak Brown Metallic,J1 , Kodiak Brown Metallic,2014,-,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
163,PBT-1339111-B,1339111,16059099,Chrysler,PS2 / WS2 / AY111WS2 / Bright SIlver Metallic,PS2 / WS2 / AY111WS2 , Bright SIlver Metallic,1999,2012,PBT,Basecoat,10/04/2019,1 ,1 ,0.473 L
164,B8-66819-00-L,4340315,-,Chevrolet,964L / Sport Red Tintcoat,964L , Sport Red Tintcoat,2007,2009,Tecbase,Midcoat,05/28/2013,1 ,1 ,0.473 L
165,PBN-5468982-C,5468982,-,Chevrolet,301N / Red Jewel Tintcoat Metallic,301N , Red Jewel Tintcoat Metallic,2009,2012,Pro//Base National Rule - Pbn,Basecoat,02/02/2017,1 ,1 ,0.473 L
166,PBT-1393276-C,1393276,15069138,Toyota,3R0 / Sizzling Crimson Pearl,3R0 , Sizzling Crimson Pearl,2011,2020,PBT,-,07/09/2019,1 ,1 ,0.473 L
167,-,-,-,Nissan,ES0 / Beige Mist Metallic,ES0 , Beige Mist Metallic,1998,2000,Wandabase HS,Two-coat,-,1 ,1 ,0.473 L
168,-,-,-,GM,565Q / Carbon Flash Metallic,565Q , Carbon Flash Metallic,2008,2015,Wandabase HS,Two-coat,-,1 ,1 ,0.473 L
169,PBN-5691168-C,5691168,-,Chevrolet,121V / Iridium Metallic,121V , Iridium Metallic,2013,2016,Pro//Base National Rule - Pbn,Basecoat,07/07/2017,1 ,1 ,0.473 L
170,PBT-1401875-B,1401875,-,Volkswagen,LD7X / D7X / 2R / 2R2R / 9046 / Platinum Gray Metallic,LD7X / D7X / 2R / 2R2R / 9046 , Platinum Gray Metallic,2002,2024,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
171,PBT-100239895-B,100239895,10442191,Toyota,6T6 / Evergalde Mica,6T6 , Evergalde Mica,2006,2008,PBT,-,06/01/2018,1 ,1 ,0.473 L
172,-,-,-,GM,800J / P 02/2018 / White Diamond,800J / P 02/2018 , White Diamond,2002,2016,Wandabase HS,Layer 2,-,1 ,1 ,0.236 L
173,PBT Midcoa - 100698657 - D,100698657,17331515,Chevrolet,GBN / WA800J / 800J / 98 / White Diamond Pearl,GBN / WA800J / 800J / 98 , White Diamond Pearl,2003,2016,PBT Midcoat,Midcoat,02/05/2020,1 ,1 ,0.473 L
174,PBT-1456378-C,1456378,-,Ford,N1 / Blue Jeans Metallic,N1 , Blue Jeans Metallic,2002,2005,PBT,-,-,1 ,1 ,0.473 L
175,C6-5209116-B,5209116,10035182,Ford,M7236A / BRQAWHA / BRQAXWA / PQ / Race Red,M7236A / BRQAWHA / BRQAXWA / PQ , Race Red,2011,2019,C6,-,05/01/2018,1 ,1 ,0.473 L
176,-,-,-,Nissan,NISCAJ / P 12 / 2016 / Tobacco,NISCAJ / P 12 / 2016 , Tobacco,2012,2015,Wandabase HS,-,-,1 ,1 ,0.473 L
177,-,622809,-,GM,WA800J / White Diamond Pearl,WA800J , White Diamond Pearl,2002,-,LIMCO Supreme Plus,Basecoat,05/23/2014,1 ,1 ,0.473 L
178,-,-,-,Toyota,082 / P 11 / 2016 / Lime White Pearl,082 / P 11 / 2016 , Lime White Pearl,2011,2016,Wandabase HS,Three-coat,-,1 ,1 ,0.473 L
179,PBT-100699408-B,100699408,24292199,Nissan,QAB / BQAB / White Pearl,QAB / BQAB , White Pearl,2009,2022,PBT - PRO//BASE 3.5 VOC,Basecoat,03/04/2022,1 ,1 ,0.473 L
180,C6-4968836-B,4968836,-,Dodge,PB7 / WB7 / AY442WB / Patriot Blue Pearl,PB7 / WB7 / AY442WB , Patriot Blue Pearl,-,2009,C6,-,11/07/2018,1 ,1 ,0.473 L
181,PBT-100842793-C,100842793,21066651,Buick,WA931L / 931L / 68 / Blue Ice Metallic,WA931L / 931L / 68 , Blue Ice Metallic,2004,2007,PBT,-,-,1 ,1 ,0.473 L
182,PBT-1394058-B,1394058,31358026,Ford,6926 / B2 / M6926A / T0 / Harvest Gold Metallic,6926 / B2 / M6926A / T0 , Harvest Gold Metallic,1999,2020,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
183,PBT-100238249-B,100238249,15695730,Mini,A28 / Hyper Blue Metallic,A28 , Hyper Blue Metallic,2004,2008,PBT,-,09/03/2019,1 ,1 ,0.473 L
184,PBT-1395210-D,1395210,11557366,Ford,U6 / M7219A . 9SSE / Red Candy Tint Metallic,U6 / M7219A . 9SSE , Red Candy Tint Metallic,2009,2012,PBT,Basecoat,08/29/2018,1 ,1 ,0.473 L
185,-,-,-,Honda,R543P / Crimson Pearl,R543P , Crimson Pearl,-,-,Tecbase,Basecoat,03/24/2014,1 ,1 ,0.473 L
186,-,-,-,Toyota,32911 / 3R3 / Barcelona Red ,32911 / 3R3 , Barcelona Red ,2006,2023,Reberlo,-,-,1 ,1 ,0.473 L
187,C6-4964349-C,4964349,-,Chrysler,PJC / AJC / Light Khaki Metallic,PJC / AJC , Light Khaki Metallic,2007,-,Crossfire B/C,Basecoat,-,1 ,1 ,0.473 L
188,PBN-1496486-C,1496486,39564063,Nissan,RBD / Dark Blue Metallic,RBD , Dark Blue Metallic,2013,2022,PBN,-,03/04/2024,1 ,1 ,0.473 L
189,PBT-1401541-C,1401541,-,Honda,YR578M / Urban Titanium Metallic,YR578M , Urban Titanium Metallic,1999,2017,PBT,-,-,1 ,1 ,0.473 L
190,PBT-100939548-B,100939548,-,Nissan,RBD / Dark Blue Metallic,RBD , Dark Blue Metallic,2013,2022,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
191,-,-,-,GM,72 / WA526F / Redfire Metallic,72 / WA526F , Redfire Metallic,-,-,Omni,-,02/15/2016,1 ,1 ,0.473 L
192,PBTM-100699412-B,100699412,24292219,Nissan,QAB / BQAB / White Pearl,QAB / BQAB , White Pearl,2009,2022,PBT - PRO//BASE 3.5 VOC,Midcoat,03/04/2022,1 ,1 ,0.473 L
193,PBT-100272443-B,100272443,-,Hyundai,2B / Ice Blue Metallic,2B , Ice Blue Metallic,-,-,PBT,-,-,1 ,1 ,0.473 L
194,PBT-1440838-D,1440838,9590313,Toyota,3T0 / Ooh La la Rouge Mica,3T0 , Ooh La la Rouge Mica,2013,2018,PBT,-,03/27/2018,1 ,1 ,0.473 L
195,B8-65073-00-P,4271146,-,Toyota,1E7 / Silver Streak Mica,1E7 , Silver Streak Mica,2003,2014,Tecbase,Basecoat,07/11/2018,1 ,1 ,0.473 L
196,PBN-5374100-B,5374100,-,Toyota,070 / Blizzard Pearl,070 , Blizzard Pearl,2003,2015,Pro//Base National Rule - Pbn,Groundcoat,07/10/2017,1 ,1 ,0.473 L
197,PBT-100324693-B,100324693,33072317,Honda,NH797M / Modern Steel Metallic,NH797M , Modern Steel Metallic,1995,2023,PBT - PRO//BASE 3.5 VOC,-,06/05/2023,1 ,1 ,0.473 L
198,C6-5188440-C,5188440,-,Chrysler,PRH / Inferno Red Crystal Pearl,PRH , Inferno Red Crystal Pearl,2004,2010,Crossfire B/C,Basecoat,12/19/2016,1 ,1 ,0.473 L
199,C6-4963688-A,4963688,23228269,Ford,T9 / M7173A / 7173 / Monterey Metallic,T9 / M7173A / 7173 , Monterey Metallic,2008,2012,C6 - Crossfire B/C,-,-,1 ,1 ,0.473 L
200,C6-4968673-A,4968673,13798392,Chevrolet,WA722J / Dark Ming Blue Metallic,WA722J , Dark Ming Blue Metallic,2004,2018,C6,-,03/19/2019,1 ,1 ,0.473 L
201,PBT-100238286-C,100238286,-,Mercedes-Benz,548 / 3548 / PV3 / Amber Red Metallic,548 / 3548 / PV3 , Amber Red Metallic,1999,2014,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
202,PBT-1395390-B,1395390,14274984,Chrysler,GBS / PBS / Deep Water Pearl,GBS / PBS , Deep Water Pearl,2008,2010,PBT,-,04/29/2019,1 ,1 ,0.473 L
203,PBT-1561056-B,1561056,9411571,Toyota,4T3 / Pyrite Mica,4T3 , Pyrite Mica,2007,2017,PBT,Basecoat,03/13/2018,1 ,1 ,0.473 L
204,PBN-5371323-C,5371323,-,Chrysler,PBL / Modern Blue Pearl,PBL , Modern Blue Pearl,2007,2011,Pro//Base National Rule - Pbn,Basecoat,12/05/2017,1 ,1 ,0.473 L
205,PBN-5513869-C,5513869,-,Subaru,37J / Satin White Pearl,37J , Satin White Pearl,2005,2015,Pro//Base National Rule - Pbn,Midcoat,01/05/2018,1 ,1 ,0.473 L
206,-,654646,-,Jeep,AY96AJC / STD / Light Khaki Metallic,AY96AJC / STD , Light Khaki Metallic,2003,2009,Limco Supreme,-,05/11/2011,1 ,1 ,0.473 L
207,PBT-100470584-C,100470584,14369990,Volkswagen,LR8V / Aubergine Pearl,LR8V , Aubergine Pearl,2004,2006,PBT,-,05/07/2019,1 ,1 ,0.473 L
208,C6-495883,495883,-,Ford,6887 / M6887 / Z1 / Z1-6887 / Oxford White,6887 / M6887 / Z1 / Z1-6887 , Oxford White,1997,2024,C6 - Crossfire B/C,-,-,1 ,1 ,0.473 L
209,-,234443,-,Jaguar,CGG / Carnival Red Mica,CGG , Carnival Red Mica,1998,2003,Limco Supreme,-,03/01/2012,1 ,1 ,0.473 L
210,-,-,-,Kia,KDG / Gravity Gray Metallic,KDG , Gravity Gray Metallic,2009,2024,PBT - PRO//BASE 3.5 VOC,-,-,1 ,1 ,0.473 L
211,PBT-100494572-A,100494572,15625277,Chevrolet,GB8 / WA384A / 384A / Black Meet Kettle Metallic,GB8 / WA384A / 384A , Black Meet Kettle Metallic,2016,2020,PBT,-,08/27/2019,1 ,1 ,0.473 L
212,56-74090-00-B,4283372,-,Honda,B537M / Atomic Blue Metallic,B537M , Atomic Blue Metallic,2006,2011,Crossfire Platinum B/C 5.0,Basecoat,-,1 ,1 ,0.473 L
213,-,-,-,Volkswagen,VWLC5F / Blue Graphite Pearl,VWLC5F , Blue Graphite Pearl,2002,2016,Wandabase HS,-,-,1 ,1 ,0.473 L
214,PBN-5763885-C,5763885,-,Mercedes-Benz,368 / Flint Gray Metallic,368 , Flint Gray Metallic,2005,2012,Pro//Base National Rule - Pbn,Basecoat,03/29/2016,1 ,1 ,0.473 L
215,C6-4968809-B,4968809,19806765,Pontiac,946L / Cobalt Red,946L , Cobalt Red,2005,2008,C6,-,-,1 ,1 ,0.473 L
216,-,762206,-,Toyota,4T8 / Sandy Beach Metallic,4T8 , Sandy Beach Metallic,2007,2011,Limco Supreme,-,-,1 ,1 ,0.473 L
217,PBT-1391051-C,1391051,-,Honda,NH700M / NH700M-4 / Alabaster Silver Metallic,NH700M / NH700M-4 , Alabaster Silver Metallic,2005,2018,PBT,-,-,1 ,1 ,0.473 L
218,PBT-1571086-B,1571086,-,Ford,JP / M7052A / M7052 / 7052 / Silver Birch Metallic,JP / M7052A / M7052 / 7052 , Silver Birch Metallic,2002,2020,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
219,PBT-100779562-B,100779562,35910421,Lexus,3R5 / Royal Ruby Mica,3R5 , Royal Ruby Mica,2006,2008,PBT - PRO//BASE 3.5 VOC,-,09/20/2023,1 ,1 ,0.473 L
220,PBN-5373792-B,5373792,-,Audi,LY7R / Crystal Blue Metallic,LY7R , Crystal Blue Metallic,2002,2005,Pro//Base National Rule - Pbn,Basecoat,04/06/2017,1 ,1 ,0.473 L
221,C6-4952679-A,4952679,-,Mercedes-Benz,904 / 5904 / DB-904 / DB-5904 / Midnight Blue,904 / 5904 / DB-904 / DB-5904 , Midnight Blue,-,-,C6,-,04/11/2019,1 ,1 ,0.473 L
222,PBN-5664143-B,5664143,-,Nissan,QAB / White Pearl,QAB , White Pearl,2009,2015,Pro//Base National Rule - Pbn,Midcoat,06/09/2017,1 ,1 ,0.473 L
223,56-60589-00-B,4428897,-,Ford,L2 / True Blue Metallic,L2 , True Blue Metallic,2001,2009,Crossfire Platinum B/C 5.0,Basecoat,05/06/2013,1 ,1 ,0.473 L
224,PBT-100699501-C,100699501,-,Chevrolet,GWT / WA120V / 120V / Champagne Silver Metallic,GWT / WA120V / 120V , Champagne Silver Metallic,2013,2017,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
225,C6-4978030-B,4978030,-,Ford,E4 / Vermilion,E4 , Vermilion,1989,2015,Crossfire B/C,Basecoat,11/29/017,1 ,1 ,0.473 L
226,56-75600-00-B,4107267,-,Buick,414P / Cocoa Metallic,414P , Cocoa Metallic,2007,2012,Crossfire Platinum B/C 5.0,Basecoat,05/06/2014,1 ,1 ,0.473 L
227,PBT-100698876-B,100698876,-,Nissan,QX1 / Glacier Pearl,QX1 , Glacier Pearl,2002,2021,PBT,-,-,1 ,1 ,0.473 L
228,PBT-1391189-D,1391189,21831121,Jeep,PRP / JRP / Deep Cherry Red Crystal Pearl,PRP / JRP , Deep Cherry Red Crystal Pearl,2011,2015,PBT,-,-,1 ,1 ,0.473 L
229,C6-4971191-B,4971191,10034703,Chevrolet,WA9792 / 39A / 39 / 9792 / Indigo Blue Metallic,WA9792 / 39A / 39 / 9792 , Indigo Blue Metallic,2000,2018,C6,-,05/01/2018,1 ,1 ,0.473 L
230,PBN-5378086-C,5378086,-,Chevrolet,9539 / Medium Green Metallic,9539 , Medium Green Metallic,1992,2015,Pro//Base National Rule - Pbn,Basecoat,06/23/2017,1 ,1 ,0.473 L
231,C6-4951995-B,4951995,10054317,Honda,NH678M / Silver Pearl Metallic,NH678M , Silver Pearl Metallic,2005,2009,C6,-,05/02/2018,1 ,1 ,0.473 L
232,PBTM-100779605-C,100779605,35920422,Lexus,3R5 / Royal Ruby Mica,3R5 , Royal Ruby Mica,2006,2008,PBT - PRO//BASE 3.5 VOC,-,09/28/2023,1 ,1 ,0.473 L
233,C6-4972929-A,4972929,17083879,Nissan,RAP / Metallic Fish Metallic,RAP , Metallic Fish Metallic,2010,2012,C6,-,06/15/2020,1 ,1 ,0.473 L
234,C6-4957989-A,4957989,36600983,Chevrolet,GAZ-8624 / 50 / 50U / GAZ / GCZ / 8624 / WA8624 Olympic White,GAZ-8624 / 50 / 50U / GAZ / GCZ / 8624 , WA8624 Olympic White,1990,2024,C6 - Crossfire B/C,-,10/26/2023,1 ,1 ,0.473 L
235,B8-57066-00-P,4233840,-,Buick,534F / Light Bronze Mist Metallic,534F , Light Bronze Mist Metallic,2000,2004,-,Basecoat,12/18/2014,1 ,1 ,0.473 L
236,C6-4984581-C,4984581,39602887,Chevrolet,GAN-636R / GAN / 636R / WA636R / 17 / 17U / 8636 / Switchblade Silver Metallic,GAN-636R / GAN / 636R / WA636R / 17 / 17U / 8636 , Switchblade Silver Metallic,2009,2023,C6 - Crossfire B/C,-,03/05/2024,1 ,1 ,0.473 L
237,-,-,-,Hyundai,S3 / Phantom Black Metallic,S3 , Phantom Black Metallic,-,-,-,Basecoat,08/10/2021,1 ,1 ,0.473 L
238,C6-5270836-D,5270836,36607742,Hyundai,MAD / MM / Carbon Grey Mist Metallic,MAD / MM , Carbon Grey Mist Metallic,2009,2011,C6 - Crossfire B/C,-,10/26/2023,1 ,1 ,0.473 L
239,PBT-100605876-B,100605876,30843622,Hyundai,SM / Silver Metallic,SM , Silver Metallic,2009,2014,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
240,C6-105359309-A,105359309,-,Kia,ABP / Aurora Black Pearl,ABP , Aurora Black Pearl,2012,2024,C6 - Crossfire B/C,-,10/26/2023,1 ,1 ,0.473 L
241,C6-100139582-C,100139582,35107990,Kia,4SS / Ultra Silver Metallic,4SS , Ultra Silver Metallic,2014,2023,C6 - Crossfire B/C,-,08/28/2023,1 ,1 ,0.473 L
242,PBT-1402028-B,1402028,34621130,Chevrolet,410Y / Old Blue Eyes Metallic,410Y , Old Blue Eyes Metallic,-,-,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
243,PBT-5507770-D,5507770,-,Cadillac,WA8933 / White Diamond,WA8933 , White Diamond,1991,2000,Pro//Base National Rule - Pbn, -,-,1 ,1 ,0.473 L
244,C64954263-B,4954263,-,Ford,YN / Silver Metallic,YN , Silver Metallic,1990,2011,Crossfire B/C,Basecoat,08/01/2014,1 ,1 ,0.473 L
245,C6-101041016-A,101041016,-,Chrysler,AXR / AY112AXR / PXR / Brilliant Black Crystal Pearl,AXR / AY112AXR / PXR , Brilliant Black Crystal Pearl,2003,2024,C6 - Crossfire B/C,-,-,1 ,1 ,0.473 L
246,PBN-5369910-B,5369910,-,Chevrolet,805K / Dark Spiral Gray Metallic,805K , Dark Spiral Gray Metallic,2003,2008,Pro//Base National Rule - Pbn,Basecoat,12/27/2017,1 ,1 ,0.473 L
247,C6-4978694-B,4978694,-,Honda,B536P / Royal Blue Pearl,B536P , Royal Blue Pearl,2006,2012,Crossfire B/C,Basecoat,10/23/2017,1 ,1 ,0.473 L
248,B8-5761153-N,5761153,-,Mercedes-Benz,992 / Selenite Gray Metallic,992 , Selenite Gray Metallic,2014,2015,Tecbase,Basecoat,10/25/2016,1 ,1 ,0.473 L
249,500DB-103204279-3,103204279,31400108,Chevrolet,WA348D / 348D / 23 / Bright Blue Metallic,WA348D / 348D / 23 , Bright Blue Metallic,1997,2001,500 BeroBase,-,03/24/2023,1 ,1 ,0.473 L
250,PBT-1641441-C,1641441,19633346,Toyota,4T8 / Sandy Beach Metallic,4T8 , Sandy Beach Metallic,2008,2020,PBT,-,09/11/2020,1 ,1 ,0.473 L
251,PBT-100930656-A,100930656,,Chevrolet,GB8 / WA384A / 384A / Black Meet Kettle Metallic,GB8 / WA384A / 384A , Black Meet Kettle Metallic,2016,2023,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
252,PBT-1440579-C,1440579,15532140,Chevrolet,WA503Q / 503Q / Ink Slate Metallic,WA503Q / 503Q , Ink Slate Metallic,2008,2009,PBT,-,08/19/2019,1 ,1 ,0.473 L
253,-,-,-,Honda,YR562R / Carbon Bronze Pearl,YR562R , Carbon Bronze Pearl,-,-,-,Basecoat,06/07/2021,1 ,1 ,0.473 L
254,PBT-100547506-A,100547506,24730310,Lincoln,G1 / M7343A / M7343 / G9ZEWHA / 7343 / Absolute Black,G1 / M7343A / M7343 / G9ZEWHA / 7343 , Absolute Black,2015,2021,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
255,PBN-5376039-B,5376039,-,Ford,UG / White Platinum Pearl,UG , White Platinum Pearl,2009,2016,Pro//Base National Rule - Pbn,Groundcoat,06/22/2017,1 ,1 ,0.473 L
256,PBN-5379165-C,5379165,-,Mazda,32S / Galaxy Gray Mica,32S , Galaxy Gray Mica,2006,2012,Pro//Base National Rule - Pbn,Basecoat,07/06/2017,1 ,1 ,0.473 L
257,PBT-1407834-A,1407834,-,Chevrolet,GAR / 58 / WA501Q / 501Q / Carbon Flash Metallic,GAR / 58 / WA501Q / 501Q , Carbon Flash Metallic,2008,2020,PBT,-,-,1 ,1 ,0.473 L
258,-,28051,-,GM,WA379E / Crimson Pearl,WA379E , Crimson Pearl,1998,2007,Limco Supreme,-,10/20/2011,1 ,1 ,0.473 L
259,PBT-1389019-B,1389019,37251823,Subaru,CB4 / D4S / EH3 / Crystal Black Silica Pearl,CB4 / D4S / EH3 , Crystal Black Silica Pearl,2009,2024,PBT - PRO//BASE 3.5 VOC,-,-,1 ,1 ,0.473 L
260,PBT-100699501-C,100699501,-,Chevrolet,GWT / WA120V / 120V / Champagne Silver Metallic,GWT / WA120V / 120V , Champagne Silver Metallic,2013,2017,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
261,B8-67174-00-P,4394996,-,Pontiac,946J / Barbados Metallic,946J , Barbados Metallic,2004,2005,Tecbase,Basecoat,05/05/2015,1 ,1 ,0.473 L
262,PBT-1440531-D,1440531,16397492,Toyota,1E3 / U1E3 / Phantom Gray Pearl,1E3 / U1E3 , Phantom Gray Pearl,1986,2008,PBT,-,11/05/2018,1 ,1 ,0.473 L
